word,freq
얘기, 1
기도, 1
블랙프라이데이, 1
접속, 1
성우, 1
스위치, 12
이번, 6
시티, 1
나머지, 1
가입, 2
케이스, 2
공짜, 1
자서, 2
인간, 1
수능, 1
덜덜, 1
대회, 1
예상, 1
티남, 1
선택, 1
부터, 1
몬스터헌터, 1
오메가, 1
애초, 1
가장, 1
이하나, 1
영화니, 1
뚝뚝, 1
레슨, 3
편, 2
사이시옷, 1
콜라, 2
오케스트라, 2
자원봉사, 3
회사, 2
대빠크, 1
유후, 1
기간, 2
도, 3
계정, 2
요런, 1
돈, 4
넷플릭스, 3
시리즈, 1
반복, 1
수십, 1
구도, 1
토르, 1
직구, 2
스트레이트, 1
소동, 1
혹시, 1
마법, 1
역전재판, 1
맘스, 1
가량, 1
등장인물, 1
세기, 1
학기, 8
팔로잉, 3
폰, 1
문제, 4
씨바, 1
주최, 1
나름, 4
지향, 1
남자, 1
연주회, 1
심즈, 1
간, 3
조회, 1
히스, 1
병원, 1
일찍, 3
면접, 1
진학, 1
찌, 1
별로, 2
및, 1
무료, 2
쥬르쥬르상, 1
그래비티, 1
탑승, 1
값, 1
블랙, 2
주행, 2
강, 1
밖, 1
버전, 1
반, 1
술술, 1
발, 3
개, 11
일가, 1
아주, 4
밤, 2
종강, 2
차, 2
위트, 1
정리, 1
불타, 1
갱, 1
그래피티, 1
밸런스, 2
감기, 1
이미지, 1
동아리, 3
원샷, 1
인터파크, 1
독일, 1
정말, 5
모바일, 1
관념, 1
책, 1
퍼큘, 2
마딧, 1
영국사람, 1
펩시, 1
매직, 2
트위터, 18
의사, 1
두, 1
지금, 6
졸업, 1
포트, 4
선생님, 1
둘, 2
진행, 5
검색, 1
표, 1
어왜안잤, 1
패스, 2
게임, 13
똥글, 1
주연, 1
다시, 10
거, 24
오브, 2
얼마나, 2
건, 5
그저께, 1
중학생, 1
사람, 7
강남스타일, 1
걸, 2
푹, 2
인터넷, 3
밀크, 1
두번째, 1
아줌마, 1
