Name,NameDong,First,FirstDong,Way,Second,SecondDong,Third,ThirdDong
유회진학술정보관,300,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,21동 약학대학 약학관1,21
제1공학관,301,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
제2공학관,302,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
엔지니어하우스,310,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
화학공정신기술연구소,311,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
정밀기계설계공동연구소,313,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
차세대자동차기술연구센터 차세대자동차신기술연구센터,314,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
대형구조실험동,316,44-1동 공대 신양학술정보관 I,44-1,,102동 정보화본부,102,75-1동 제3식당 (전망대) 제3학생식당,75-1
제2파워플랜트,330,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
차량정비고,331,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
자연과학대학 한미기상기후센터,500,102동 정보화본부,102,,25동 25동,25,18동 자연과학대학 자연과학관1,18
자연과학대학,500,102동 정보화본부,102,,18동 자연과학대학 자연과학관1,18,63동 학생회관,63
자연과학대학,500,102동 정보화본부,102,,18동 자연과학대학 자연과학관1,18,25동 25동,25
자연과학대학,502,102동 정보화본부,102,,25동 25동,25,18동 자연과학대학 자연과학관1,18
자연과학대학 생명과학부,504,25동 25동,25,,102동 정보화본부,102,18동 자연과학대학 자연과학관1,18
공대간이식당,30-2,85동 수의과대학,85,,301동 제1공학관,301,18동 자연과학대학 자연과학관1,18
